Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Easting,Northing,Long,Lat
RICHLANDS,INALA,D0566,ELIZABETH BRUCE PLAYGROUND PARK,18644,ELIZABETH BRUCE PLAYGROUND PK SPORTING FACILITY,131103,TAP COMBINATION,Bubbler & 2 taps,497202,6948921,152.9716509,-27.58361514
RICHLANDS,INALA,D0567,KEV HOOPER MEMORIAL PARK,18638,BALANCE OF PARK,31124,BUBBLER/DRINKING FOUNTAIN,Bubbler,497671,6948224,152.9764014,-27.58990843
RICHLANDS,INALA,D0580,D.J.SHERRINGTON PARK,18726,BALANCE OF PARK,46622,TAP COMBINATION,Bubbler & Tap,498577,6947433,152.9855805,-27.5970507
RICHLANDS,INALA,D0580,D.J.SHERRINGTON PARK,18726,BALANCE OF PARK,135150,TAP COMBINATION,Bubbler & 2 taps,498634,6947384,152.986158,-27.59749312
RICHLANDS,INALA,D0580,D.J.SHERRINGTON PARK,18731,D.J. SHERRINGTON PK SKATE FACILITY & ACTIVITY SPACE,135236,TAP COMBINATION,Bubbler & 2 taps,498681,6947425,152.9866343,-27.59712303
RICHLANDS,INALA,D0584,CORMORANT STREET PARK,12141,CORMORANT ST SHARED PATHWAY NETWORK,131364,TAP COMBINATION,NULL,497153,6947448,152.9711509,-27.59691304
RICHLANDS,INALA,D0586,HOCK DAVIS PARK,18699,LILAC ST HALF COURT,131259,TAP COMBINATION,NULL,496535,6947722,152.9648894,-27.59443797
RICHLANDS,INALA,D0943,I. S. A.  MEMORIAL PARK,25143,INCAPACITATED SERVICEMEN & WOMEN MEMORIAL,131620,BUBBLER/DRINKING FOUNTAIN,Bubbler & Tap,497186,6947555,152.9714856,-27.59594713
RICHLANDS,INALA,D1422,RICHLANDS DEPOT PARK,18453,GOVERNMENT RD DOG OFF LEASH AREA,31560,TAP COMBINATION,"Bubbler, tap & dog bowl",495990,6947123,152.959365,-27.59984413
RICHLANDS,OXLEY,D0012,CAWONGA PARK,17117,CAWONGA PK PLAYGROUND,85852,TAP COMBINATION,Bubbler & 2 taps,497557,6952162,152.9752543,-27.55435653
RICHLANDS,OXLEY,D0012,CAWONGA PARK,17117,CAWONGA PK PLAYGROUND,85851,TAP COMBINATION,Bubbler & 2 taps,497587,6952181,152.9755582,-27.55418506
RICHLANDS,OXLEY,D0317,NIXON PARK,16898,NIXON PK SOUTHERN PICNIC AREA,85713,TAP COMBINATION,Bubbler & 2 taps,497855,6952384,152.9782732,-27.55235285
RICHLANDS,OXLEY,D0319,LAWSON STREET PARK,16882,BALANCE OF PARK,46592,TAP COMBINATION,Bubbler & Tap,497894,6951757,152.9786671,-27.55801339
RICHLANDS,OXLEY,D0321,LUCOCK PLACE PARK,16871,LUCOCK PLACE PLAYGROUND,13515,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,497106,6951466,152.9706843,-27.56063905
RICHLANDS,OXLEY,D0322,CLIVEDEN AVENUE RESERVE,16864,BALANCE OF PARK,13525,TAP COMBINATION,Bubbler & Tap (antivandal),499162,6952517,152.9915119,-27.55115358
RICHLANDS,OXLEY,D0323,OXLEY PLACE PARK,16857,OXLEY PLACE PLAYGROUND,13542,TAP COMBINATION,Bubbler & Tap,498015,6951020,152.9798916,-27.56466711
RICHLANDS,OXLEY,D0324,RIKKI BAILEY PARK,14509,RIKKI BAILEY PK PICNIC AREA,130820,TAP COMBINATION,Bubbler & 2 taps,496749,6951359,152.9670677,-27.56160422
RICHLANDS,OXLEY,D1484,ENGLEFIELD ROAD PARK (NOS.35-47),16780,ENGLEFIELD RD DOG OFF LEASH AREA,85773,TAP COMBINATION,Bubbler & 2 taps,497526,6951875,152.9749397,-27.55694748
RICHLANDS,OXLEY,D1837,MUIRFIELD CRESCENT PARK,16756,MUIRFIELD CRES PLAYGROUND,31477,TAP COMBINATION,Bubbler & Tap,498448,6949942,152.9842766,-27.57439971
RICHLANDS,RICHLANDS,D0564,C.J.GREENFIELD COMPLEX PARK,18669,C J GREENFIELD COMPLEX PICNIC AREA (FREEMAN RD),44027,BUBBLER/DRINKING FOUNTAIN,Disabled access fountain,496632,6949376,152.9658769,-27.57950617
